162,981007299796
9,35453057339589
6,11482872944517
3,57998764807809
2,20204017519699
2,14813541069466
2,1448871563546
0,971971879782762
0,770838749969814
0,359835455675919
0,341420819612165
0,340301507443389
0,340231555329248
0,340227175890253
0,332466864336961
0,301921665456554
0,177730063274653
0,0811172629843676
0,0415219117235248
0,0374147087743676
0,0238803250039449
0,0175589350655967
0,0173644502095783
0,0124655329606285
0,00610196581245619
0,00578760140277032
0,00311894476022096
0,00126274067877024
0,00080870329722192
0,000495674574635768
0,000439190867172256
0,000221961812477436
0,000118178640289212
9,48625651739231E-05
4,16886200015856E-05
2,87785301975675E-05
2,05755754322234E-05
1,25830292775319E-05
1,21721837388506E-05
6,72235646301156E-06
6,34144480704565E-06
2,88374207775137E-06
1,2753535685192E-06
1,14868459793258E-06
4,62893656418356E-07
4,37092441978662E-07
4,35552212413006E-07
3,85528903039506E-07
2,36717314922913E-07
1,87081866302059E-07
1,23482234520801E-07
1,16868267981928E-07
6,04857974362176E-08
5,78957831388391E-08
3,64023975472735E-08
8,5088138915595E-09
4,55380990075583E-09
2,90843959697717E-09
2,83547883010908E-09
1,61672382067101E-09
1,25209963177755E-09
1,21337009919275E-09
1,05991478800218E-09
